NAME_1,studis
Berlin,191058
München,136152
Erfurt,127318
Hamburg,107313
Köln,94102
Essen,87139
Stuttgart,85463
Hagen,63326
Frankfurt am Main,63004
Aachen,59613
Münster,58458
Bochum,54430
Düsseldorf,48255
Dortmund,47828
Hannover,46593
