64,Darmstadt,Regierungsbezirk,4088107
6411,Darmstadt,kreisfreie Stadt,162243
6412,Frankfurt am Main,kreisfreie Stadt,773068
6413,Offenbach am Main,kreisfreie Stadt,134170
6414,Wiesbaden,kreisfreie Stadt,283083
6431,Bergstraße,Landkreis,275205
6432,Darmstadt-Dieburg,Landkreis,300658
6433,Groß-Gerau,Landkreis,280308
6434,Hochtaunuskreis,Landkreis,239488
6435,Main-Kinzig-Kreis,Landkreis,430838
6436,Main-Taunus-Kreis,Landkreis,242420
6437,Odenwaldkreis,Landkreis,97577
6438,Offenbach,Landkreis,362137
6439,Rheingau-Taunus-Kreis,Landkreis,189614
6440,Wetteraukreis,Landkreis,317298
65,Gießen,Regierungsbezirk,1067354
6531,Gießen,Landkreis,278664
6532,Lahn-Dill-Kreis,Landkreis,257289
6533,Limburg-Weilburg,Landkreis,174884
6534,Marburg-Biedenkopf,Landkreis,249684
6535,Vogelsbergkreis,Landkreis,106833
66,Kassel,Regierungsbezirk,1235899
6611,Kassel,kreisfreie Stadt,204202
6631,Fulda,Landkreis,227456
6632,Hersfeld-Rotenburg,Landkreis,121566
6633,Kassel,Landkreis,240718
6634,Schwalm-Eder-Kreis,Landkreis,182595
6635,Waldeck-Frankenberg,Landkreis,159154
6636,Werra-Meißner-Kreis,Landkreis,100208
7,Rheinland-Pfalz,Bundesland,4159150
71,Koblenz,Statistische Region,1522508
7111,Koblenz,kreisfreie Stadt,115268
7131,Ahrweiler,Landkreis,128161
7132,Altenkirchen (Westerwald),Landkreis,131467
7133,Bad Kreuznach,Landkreis,161307
7134,Birkenfeld,Landkreis,81760
7135,Cochem-Zell,Landkreis,62666
7137,Mayen-Koblenz,Landkreis,218210
7138,Neuwied,Landkreis,187440
7140,Rhein-Hunsrück-Kreis,Landkreis,105566
7141,Rhein-Lahn-Kreis,Landkreis,124381
7143,Westerwaldkreis,Landkreis,206282
72,Trier,Statistische Region,546565
7211,Trier,kreisfreie Stadt,112195
7231,Bernkastel-Wittlich,Landkreis,115099
7232,Eifelkreis Bitburg-Prüm,Landkreis,103642
7233,Vulkaneifel,Landkreis,61769
7235,Trier-Saarburg,Landkreis,153860
73,Rheinhessen-Pfalz,Statistische Region,2090077
7311,Frankenthal (Pfalz),kreisfreie Stadt,49051
7312,Kaiserslautern,kreisfreie Stadt,101228
7313,Landau in der Pfalz,kreisfreie Stadt,47610
7314,Ludwigshafen am Rhein,kreisfreie Stadt,174265
7315,Mainz,kreisfreie Stadt,220552
7316,Neustadt an der Weinstraße,kreisfreie Stadt,53981
7317,Pirmasens,kreisfreie Stadt,40682
7318,Speyer,kreisfreie Stadt,51368
7319,Worms,kreisfreie Stadt,84646
7320,Zweibrücken,kreisfreie Stadt,34534
7331,Alzey-Worms,Landkreis,132536
7332,Bad Dürkheim,Landkreis,134546
7333,Donnersbergkreis,Landkreis,76208
7334,Germersheim,Landkreis,130793
7335,Kaiserslautern,Landkreis,108216
7336,Kusel,Landkreis,71462
7337,Südliche Weinstraße,Landkreis,112631
7338,Rhein-Pfalz-Kreis,Landkreis,155921
7339,Mainz-Bingen,Landkreis,214948
7340,Südwestpfalz,Landkreis,94899
8,Baden-Württemberg,Bundesland,11280257
81,Stuttgart,Regierungsbezirk,4205849
8111,Stuttgart,kreisfreie Stadt,632865
8115,Böblingen,Landkreis,398528
8116,Esslingen,Landkreis,540226
8117,Göppingen,Landkreis,261857
8118,Ludwigsburg,Landkreis,551051
8119,Rems-Murr-Kreis,Landkreis,432397
8121,Heilbronn,kreisfreie Stadt,128334
8125,Heilbronn,Landkreis,353283
8126,Hohenlohekreis,Landkreis,115063
8127,Schwäbisch Hall,Landkreis,202834
8128,Main-Tauber-Kreis,Landkreis,134745
8135,Heidenheim,Landkreis,135035
8136,Ostalbkreis,Landkreis,319631
82,Karlsruhe,Regierungsbezirk,2848400
8211,Baden-Baden,kreisfreie Stadt,57025
8212,Karlsruhe,kreisfreie Stadt,308707
8215,Karlsruhe,Landkreis,454613
8216,Rastatt,Landkreis,234981
8221,Heidelberg,kreisfreie Stadt,162273
8222,Mannheim,kreisfreie Stadt,315554
8225,Neckar-Odenwald-Kreis,Landkreis,145493
8226,Rhein-Neckar-Kreis,Landkreis,555352
8231,Pforzheim,kreisfreie Stadt,127849
8235,Calw,Landkreis,162853
8236,Enzkreis,Landkreis,202536
8237,Freudenstadt,Landkreis,121164
83,Freiburg,Regierungsbezirk,2322689
8311,Freiburg im Breisgau,kreisfreie Stadt,236140
8315,Breisgau-Hochschwarzwald,Landkreis,269948
8316,Emmendingen,Landkreis,170996
8317,Ortenaukreis,Landkreis,441885
8325,Rottweil,Landkreis,142593
8326,Schwarzwald-Baar-Kreis,Landkreis,217181
8327,Tuttlingen,Landkreis,144891
8335,Konstanz,Landkreis,292568
8336,Lörrach,Landkreis,233027
8337,Waldshut,Landkreis,173460
84,Tübingen,Regierungsbezirk,1903319
8415,Reutlingen,Landkreis,291696
8416,Tübingen,Landkreis,232803
8417,Zollernalbkreis,Landkreis,193235
8421,Ulm,kreisfreie Stadt,128928
8425,Alb-Donau-Kreis,Landkreis,202476
8426,Biberach,Landkreis,206513
8435,Bodenseekreis,Landkreis,222712
8436,Ravensburg,Landkreis,290911
8437,Sigmaringen,Landkreis,134045
9,Bayern,Bundesland,13369393
91,Oberbayern,Regierungsbezirk,4801769
9161,Ingolstadt,kreisfreie Stadt,141029
