191,Brandenburg,Cottbus,Platz der Dt. Einheit 1,3046
192,Hessen,Darmstadt,Zweifalltorweg 12,64293
193,Hessen,Darmstadt,Hilpertstr. 31,64295
194,Hessen,Darmstadt,Schöfferstraße 3,64295
195,Hessen,Darmstadt,Karolinenplatz 5,64289
196,Bayern,Deggendorf,Dieter-Görlitz-Platz 1,94469
197,Nordrhein-Westfalen,Detmold,Neustadt 22,32756
198,Nordrhein-Westfalen,Dortmund,Sonnenstraße 96,44139
199,Nordrhein-Westfalen,Dortmund,Otto-Hahn-Straße 19,44227
200,Nordrhein-Westfalen,Dortmund,August-Schmidt-Straße 4,44227
201,Sachsen,Dresden,Freiberger Straße 37,1067
202,Sachsen,Dresden,Dürerstraße 25,1307
203,Sachsen,Dresden,Güntzstraße 34,1307
204,Sachsen,Dresden,Käthe Kollwitz Ufer 97,1309
205,Sachsen,Dresden,Wettiner Platz 13,1067
206,Sachsen,Dresden,Basteiplatz 4,1277
207,Sachsen,Dresden,Friedrich-List-Platz 1,1069
208,Sachsen,Dresden,Güntzstraße 1,1069
209,Sachsen,Dresden,Mommsenstraße 11,1069
210,Nordrhein-Westfalen,Essen,Universitätsstraße 2,45141
211,Nordrhein-Westfalen,Düsseldorf,Geschwister-Aufricht-Straße 9,40489
212,Nordrhein-Westfalen,Düsseldorf,Münsterstraße 156,40476
213,Nordrhein-Westfalen,Düsseldorf,Fischerstraße 110,40476
214,Nordrhein-Westfalen,Düsseldorf,Erkrather Str. 220 a-c,40233
215,Nordrhein-Westfalen,Düsseldorf,Eiskellerstraße 1,40213
216,Nordrhein-Westfalen,Düsseldorf,Universitätsstraße 1,40225
217,Brandenburg,Eberswalde,Schicklerstraße 20,16225
218,Brandenburg,Eberswalde,Schicklerstr. 5,16225
219,Bayern,Eichstätt,Ostenstraße 26,85072
220,Schleswig-Holstein,Elmshorn,Köllner Chaussee 11,25337
221,Brandenburg,Wustermark,Johann-Gerhard-Oncken-Straße 7,14641
222,Niedersachsen,Emden,Constantiaplatz 4,26723
223,Thüringen,Erfurt,Altonaer Straße 25,99085
224,Thüringen,Erfurt,Nordhäuser Straße 74,99089
225,Thüringen,Erfurt,Juri-Gagarin-Ring 152,99084
226,Thüringen,Erfurt,Nordhäuser Straße 63,99089
227,Bayern,Erlangen,Schlossplatz 4,91054
228,Nordrhein-Westfalen,Essen,Leimkugelstraße 6,45141
229,Nordrhein-Westfalen,Essen,Prinz-Friedrich-Str. 28 A,45257
230,Nordrhein-Westfalen,Essen,Klemensborn 39,45239
231,Baden-Württemberg,Esslingen,Kanalstraße 33,73728
