Köln KHKT,341
Köln KolpingH,342
Köln KuHMedien,343
Köln RheinH,344
Köln TH,345
Köln U,346
Konstanz AllensbachH,347
Konstanz H,348
Konstanz U,349
Landshut H,350
Leipzig HfGuB,351
Leipzig HHL,352
Leipzig HMT,353
Leipzig HTWK,354
Leipzig U,355
Lübeck HfM,356
Lübeck TH,357
Lübeck U,358
Ludwigsburg EvH,359
Ludwigsburg PH,360
Ludwigshafen HWG,361
Lüneburg U,362
Magdeburg SH,363
Magdeburg-Stendal H,364
Magdeburg U,365
Mainz H,366
Mainz KathH,367
Mainz U,368
Mannheim H,369
Mannheim HdBA (Verw),370
Mannheim HdWM,371
Mannheim HfM,372
Mannheim U,373
Marburg EHTabor,374
Marburg HArchiv (Verw),375
Marburg U,376
Mecklenburg-Vorp. FHVerw (Verw),377
Merseburg H,378
Mittelhessen THM,379
Mittweida H,380
München AkdBK,381
München HAW,382
München HDBW,383
München HFF,384
München HMT,385
München HPhil,386
München IH,387
München KathH,388
München MBS,389
München TUM,390
München U,391
München UBw,392
Münster FH,393
Münster KuAk,394
Münster PhThH,395
Münster U,396
Neubrandenburg H,397
Neuendettelsau KiH,398
Neuruppin MHB,399
Neu-Ulm H,400
Niederrhein H,401
Niedersachsen HRecht (Verw),402
Niedersachsen HVerw (Verw),403
Niedersachsen PolAk (Verw),404
Niedersachsen SteuerAk (Verw),405
Nordhausen H,406
Nordhessen FH,407
Nordrhein-Westfalen DHPol (Verw),408
Nordrhein-Westfalen FHRecht (Verw),409
Nordrhein-Westfalen HFinanz (Verw),410
Nordrhein-Westfalen HSPV (Verw),411
Nordrhein-Westfalen KathH,412
Nordrhein-Westfalen SRH,413
Nürnberg AkdBK,414
Nürnberg EvH,415
Nürnberg HfM,416
Nürnberg TH,417
Nürnberg TU,418
Nürtingen-Geislingen H,419
Oberursel LuthThH,420
Offenbach HfGest,421
Offenburg H,422
Oldenburg U,423
Osnabrück H,424
Osnabrück U,425
Ostfalia H,426
Ostwestfalen-Lippe TH,427
Ottersberg H,428
Paderborn FHDW,429
Paderborn ThFak,430
Paderborn U,431
Passau U,432
Pforzheim H,433
Potsdam-Babelsberg FilmU,434
Potsdam CHP,435
Potsdam FH,436
Potsdam FHSport,437
Potsdam GISMA,438
Potsdam GU,439
Potsdam HSD,440
Potsdam U,441
Potsdam UE,442
Potsdam XU,443
Ravensburg-Weingarten H,444
Regensburg HfKiM,445
Regensburg OTH,446
Regensburg U,447
Reutlingen HTWID,448
Reutlingen ThH,449
Rheinland-Pfalz HFinanz (Verw),450
Rheinland-Pfalz HPol (Verw),451
Rheinland-Pfalz HVerw (Verw),452
RheinMain H,453
Rhein-Waal H,454
Riedlingen SRH,455
Rosenheim TH,456
Rostock HMT,457
Rostock U,458
Rottenburg H,459
Rottenburg HfKiM,460
Ruhr West H,461
Saarbrücken DHfPG,462
Saarbrücken HfM,463
Saarbrücken HTW,464
Saarbrücken U,465
Saar HBK,466
Saarland FHVerw (Verw),467
Sachsen-Anhalt FHPol (Verw),468
Sachsen HPol (Verw),469
Sachsen HVerw (VerwH),470
Schleswig-Holstein DHSH,471
Schleswig-Holstein FHVD (Verw),472
Schmalkalden H,473
Schwäbisch Gmünd HGest,474
Schwäbisch Gmünd PH,475
Siegen U,476
Speyer DUV,477
Stralsund H,478
Stuttgart AKAD,479
Stuttgart AkdBK,480
Stuttgart DH,481
Stuttgart H,482
Stuttgart HdM,483
Stuttgart HfK+G,484
Stuttgart HfM,485
Stuttgart MAW,486
Stuttgart MediaAk,487
Stuttgart MerzAk,488
Stuttgart U,489
Stuttgart U Waldorf,490
Stuttgart VWA,491
Südwestfalen FH,492
Thüringen VerwH (Verw),493
Trier H,494
Trier ThFak,495
Trier U,496
Trossingen HfM,497
Tübingen HfKiM,498
Tübingen U,499
Ulm TH,500
Ulm U,501
Vallendar VP-Uni,502
Vallendar WHU,503
Vechta/Diepholz PHWT,504
Vechta U,505
Wedel FH,506
Weihenstephan-Triesdorf H,507
