Berlin-Weißensee KHB,weißensee kunsthochschule berlin,823,1946,http://www.kh-berlin.de
Biberach H,"Hochschule Biberach - Architektur und Bauwesen, Betriebswirtschaft und Biotechnologie",2270,1964,http://www.hochschule-biberach.de
Bielefeld FHDiakonie,Fachhochschule der Diakonie - Diaconia - University of Applied Sciences,754,2006,http://www.fh-diakonie.de
Bielefeld FHM,Fachhochschule des Mittelstands (FHM),5550,2000,http://www.fh-mittelstand.de/profil
Bielefeld H,Hochschule Bielefeld - University of Applied Sciences and Arts (HSBI),10538,1971,https://www.hsbi.de
Bielefeld U,Universität Bielefeld,23539,1969,http://www.uni-bielefeld.de/
Bingen TH,Technische Hochschule Bingen,2433,1897,https://www.th-bingen.de/home/
Bochum EBZ,EBZ Business School - University of Applied Sciences,1114,2008,https://www.ebz-business-school.de/
Bochum H,Hochschule Bochum - University of Applied Sciences,7695,1971,http://www.hochschule-bochum.de
Bochum HGesundheit,Hochschule für Gesundheit - University of Applied Sciences,1808,2009,http://www.hs-gesundheit.de
Bochum Rheinland-Westfalen-Lippe EvH,Evangelische Hochschule Rheinland-Westfalen-Lippe,2558,1971,http://www.evh-bochum.de
Bochum TH,Technische Hochschule Georg Agricola,2316,1816,http://www.thga.de
Bochum U,Ruhr-Universität Bochum,38939,1962,http://www.ruhr-uni-bochum.de
Bonn HFinMan,Hochschule für Finanzwirtschaft & Management,710,2003,http://www.s-hochschule.de
Bonn-Rhein-Sieg H,"Hochschule Bonn-Rhein-Sieg, University of Applied Sciences",9070,1995,www.h-brs.de
Bonn U,Rheinische Friedrich-Wilhelms-Universität Bonn,34630,1818,http://www.uni-bonn.de
Brandenburg FHFinanz (Verw),Fachhochschule für Finanzen Brandenburg,978,1991,https://fhf.brandenburg.de/fhf/de/
Brandenburg FHPol (Verw),Fachhochschule der Polizei Brandenburg,763,1998,https://hpolbb.de/
Brandenburg TH,Technische Hochschule Brandenburg,2217,1992,http://www.th-brandenburg.de
