Kaiserslautern-Landau RPTU,1220
Karlsruhe AkdBK,1221
Karlsruhe H,1222
Karlsruhe HfGest,1223
Karlsruhe HfM,1224
Karlsruhe KIU,1225
Karlsruhe PH,1226
Karlsruhe U KIT,1227
Kassel CVJM,1228
Kassel U,1229
Kempten H,1230
Kiel FH,1231
Kiel KuH,1232
Kiel U,1233
Koblenz H,1234
Koblenz HfG,1235
Koblenz U,1236
Köln CBS,1237
Köln DSHS,1238
Köln HfMT,1239
Köln INU,1240
Köln KHKT,1241
Köln KolpingH,1242
Köln KuHMedien,1243
Köln RheinH,1244
Köln TH,1245
Köln U,1246
Konstanz AllensbachH,1247
Konstanz H,1248
Konstanz U,1249
Landshut H,1250
Leipzig HfGuB,1251
Leipzig HHL,1252
Leipzig HMT,1253
Leipzig HTWK,1254
Leipzig U,1255
Lübeck HfM,1256
Lübeck TH,1257
Lübeck U,1258
Ludwigsburg EvH,1259
Ludwigsburg PH,1260
Ludwigshafen HWG,1261
Lüneburg U,1262
Magdeburg SH,1263
Magdeburg-Stendal H,1264
Magdeburg U,1265
Mainz H,1266
Mainz KathH,1267
Mainz U,1268
Mannheim H,1269
Mannheim HdBA (Verw),1270
Mannheim HdWM,1271
Mannheim HfM,1272
Mannheim U,1273
Marburg EHTabor,1274
Marburg HArchiv (Verw),1275
Marburg U,1276
Mecklenburg-Vorp. FHVerw (Verw),1277
Merseburg H,1278
Mittelhessen THM,1279
Mittweida H,1280
München AkdBK,1281
München HAW,1282
München HDBW,1283
München HFF,1284
München HMT,1285
München HPhil,1286
München IH,1287
München KathH,1288
München MBS,1289
München TUM,1290
München U,1291
München UBw,1292
Münster FH,1293
Münster KuAk,1294
Münster PhThH,1295
Münster U,1296
Neubrandenburg H,1297
Neuendettelsau KiH,1298
Neuruppin MHB,1299
Neu-Ulm H,1300
Niederrhein H,1301
Niedersachsen HRecht (Verw),1302
Niedersachsen HVerw (Verw),1303
Niedersachsen PolAk (Verw),1304
Niedersachsen SteuerAk (Verw),1305
Nordhausen H,1306
Nordhessen FH,1307
Nordrhein-Westfalen DHPol (Verw),1308
Nordrhein-Westfalen FHRecht (Verw),1309
Nordrhein-Westfalen HFinanz (Verw),1310
Nordrhein-Westfalen HSPV (Verw),1311
Nordrhein-Westfalen KathH,1312
Nordrhein-Westfalen SRH,1313
Nürnberg AkdBK,1314
Nürnberg EvH,1315
Nürnberg HfM,1316
Nürnberg TH,1317
Nürnberg TU,1318
Nürtingen-Geislingen H,1319
Oberursel LuthThH,1320
Offenbach HfGest,1321
Offenburg H,1322
Oldenburg U,1323
Osnabrück H,1324
Osnabrück U,1325
Ostfalia H,1326
Ostwestfalen-Lippe TH,1327
Ottersberg H,1328
Paderborn FHDW,1329
Paderborn ThFak,1330
Paderborn U,1331
Passau U,1332
Pforzheim H,1333
Potsdam-Babelsberg FilmU,1334
Potsdam CHP,1335
Potsdam FH,1336
Potsdam FHSport,1337
Potsdam GISMA,1338
Potsdam GU,1339
Potsdam HSD,1340
Potsdam U,1341
Potsdam UE,1342
Potsdam XU,1343
Ravensburg-Weingarten H,1344
Regensburg HfKiM,1345
Regensburg OTH,1346
Regensburg U,1347
Reutlingen HTWID,1348
Reutlingen ThH,1349
Rheinland-Pfalz HFinanz (Verw),1350
Rheinland-Pfalz HPol (Verw),1351
Rheinland-Pfalz HVerw (Verw),1352
RheinMain H,1353
Rhein-Waal H,1354
Riedlingen SRH,1355
Rosenheim TH,1356
Rostock HMT,1357
Rostock U,1358
Rottenburg H,1359
Rottenburg HfKiM,1360
Ruhr West H,1361
Saarbrücken DHfPG,1362
Saarbrücken HfM,1363
Saarbrücken HTW,1364
Saarbrücken U,1365
Saar HBK,1366
Saarland FHVerw (Verw),1367
Sachsen-Anhalt FHPol (Verw),1368
Sachsen HPol (Verw),1369
Sachsen HVerw (VerwH),1370
Schleswig-Holstein DHSH,1371
Schleswig-Holstein FHVD (Verw),1372
Schmalkalden H,1373
Schwäbisch Gmünd HGest,1374
Schwäbisch Gmünd PH,1375
Siegen U,1376
Speyer DUV,1377
Stralsund H,1378
Stuttgart AKAD,1379
Stuttgart AkdBK,1380
Stuttgart DH,1381
Stuttgart H,1382
Stuttgart HdM,1383
Stuttgart HfK+G,1384
Stuttgart HfM,1385
Stuttgart MAW,1386
Stuttgart MediaAk,1387
Stuttgart MerzAk,1388
Stuttgart U,1389
Stuttgart U Waldorf,1390
Stuttgart VWA,1391
Südwestfalen FH,1392
Thüringen VerwH (Verw),1393
Trier H,1394
Trier ThFak,1395
Trier U,1396
Trossingen HfM,1397
Tübingen HfKiM,1398
Tübingen U,1399
Ulm TH,1400
Ulm U,1401
Vallendar VP-Uni,1402
Vallendar WHU,1403
Vechta/Diepholz PHWT,1404
Vechta U,1405
